Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
Us³uga rejestracji nazw komputerów w funkcji Wspó³praca w systemie Windows (ruch wychodz¹cy SSDP)	Us³uga rejestracji nazw komputerów w funkcji Wspó³praca w systemie Windows	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	1900	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Protokó³ koordynacji platformy ASP sieci WFD (ruch wychodz¹cy UDP)	Us³uga sieci WLAN — protokó³ koordynacji platformy us³ug aplikacji sieci WFD (korzysta z protoko³u UDP)	Wszystko	Tak	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	7235	7235	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Tylko sterownik sieci WFD (ruch wychodz¹cy TCP)	Us³uga sieci WLAN — regu³y sterownika trybu j¹dra us³ug sieci WFD	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Tylko sterownik sieci WFD (ruch wychodz¹cy UDP)	Us³uga sieci WLAN — regu³y sterownika trybu j¹dra us³ug sieci WFD	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy przesy³ania strumieniowego HTTP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	Dowolne	10243	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy przesy³ania strumieniowego HTTP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	Dowolne	10243	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy przesy³ania strumieniowego HTTP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	Dowolne	10243	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy przesy³ania strumieniowego TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy przesy³ania strumieniowego TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy przesy³ania strumieniowego TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy przesy³ania strumieniowego UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy przesy³ania strumieniowego UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy przesy³ania strumieniowego UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy qWave TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	2177	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy qWave TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	2177	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy qWave TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	2177	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy qWave UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	2177	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy qWave UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	2177	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy qWave UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	2177	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy SSDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	1900	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy SSDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	1900	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy UPnP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy UPnP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena, Publiczny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy UPnPHost)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch wychodz¹cy UPnPHost)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Uzyskaj pomoc	Uzyskaj pomoc	Wszystko	Nie	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.gethelp_8wekyb3d8bbwe	
Windows Defender SmartScreen	Windows Defender SmartScreen	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.apprep.chxapp_cw5n1h2txyewy	
Windows Feature Experience Pack	Windows Feature Experience Pack	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoftwindows.client.cbs_cw5n1h2txyewy	
Windows Media Player (ruch wychodz¹cy TCP)	Windows Media Player	Domena, Publiczny	Nie	Zezwalaj	Nie	%ProgramFiles%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Media Player (ruch wychodz¹cy TCP)	Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%ProgramFiles%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Media Player (ruch wychodz¹cy UDP)	Windows Media Player	Domena, Publiczny	Nie	Zezwalaj	Nie	%ProgramFiles%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Media Player (ruch wychodz¹cy UDP)	Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%ProgramFiles%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Media Player x86 (ruch przychodz¹cy TCP)	Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Media Player x86 (ruch przychodz¹cy TCP)	Windows Media Player	Domena, Publiczny	Nie	Zezwalaj	Nie	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Media Player x86 (ruch wychodz¹cy UDP)	Windows Media Player	Domena, Publiczny	Nie	Zezwalaj	Nie	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Media Player x86 (ruch wychodz¹cy UDP)	Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Search	Windows Search	Wszystko	Tak	Zablokuj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.search_cw5n1h2txyewy	
Wskazówki Microsoft	Wskazówki Microsoft	Wszystko	Nie	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.getstarted_8wekyb3d8bbwe	
Wype³nij test	Wype³nij test	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.secureassessmentbrowser_cw5n1h2txyewy	
Wyœwietlacz bezprzewodowy (ruch wychodz¹cy TCP)	Wyœwietlacz bezprzewodowy	Wszystko	Tak	Zezwalaj	Nie	%systemroot%\system32\WUDFHost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	ZARZ¥DZANIE NT\STEROWNIKI TRYBU U¯YTKOWNIKA	Dowolne	Brak	Dowolne	
Wyœwietlacz bezprzewodowy (ruch wychodz¹cy UDP)	Wyœwietlacz bezprzewodowy	Wszystko	Tak	Zezwalaj	Nie	%systemroot%\system32\WUDFHost.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	ZARZ¥DZANIE NT\STEROWNIKI TRYBU U¯YTKOWNIKA	Dowolne	Brak	Dowolne	
Xbox	Xbox	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.xboxapp_8wekyb3d8bbwe	
Xbox Game Bar	Xbox Game Bar	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.xboxgamingoverlay_8wekyb3d8bbwe	
Xbox Game Bar Plugin	Xbox Game Bar Plugin	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.xboxgameoverlay_8wekyb3d8bbwe	
Xbox Game UI	Xbox Game UI	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.xboxgamecallableui_cw5n1h2txyewy	
Xbox Identity Provider	Xbox Identity Provider	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.xboxidentityprovider_8wekyb3d8bbwe	
Xbox TCUI	Xbox TCUI	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.xbox.tcui_8wekyb3d8bbwe	
Zabezpieczenia Windows	Zabezpieczenia Windows	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.sechealthui_cw5n1h2txyewy	
Zalecany klient rozwi¹zywania problemów (ruch wychodz¹cy HTTP/HTTPS)	Zalecane kroki rozwi¹zywania problemów	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	80, 443	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Instalator certyfikatów zarz¹dzania urz¹dzeniami z systemem Windows (ruch wychodz¹cy protoko³u TCP)	Zarz¹dzanie urz¹dzeniami z systemem Windows	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\dmcertinst.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Klient synchronizacji zarz¹dzania urz¹dzeniami z systemem Windows (ruch wychodz¹cy protoko³u TCP)	Zarz¹dzanie urz¹dzeniami z systemem Windows	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\omadmclient.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Rejestrator zarz¹dzania urz¹dzeniami z systemem Windows (ruch wychodz¹cy protoko³u TCP)	Zarz¹dzanie urz¹dzeniami z systemem Windows	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\deviceenroller.exe	Dowolne	Dowolne	TCP	Dowolne	80, 443	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga rejestracji zarz¹dzania urz¹dzeniami z systemem Windows (ruch wychodz¹cy protoko³u TCP)	Zarz¹dzanie urz¹dzeniami z systemem Windows	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zarz¹dzanie wirtualnymi kartami inteligentnymi modu³u TPM (ruch wychodz¹cy TCP)	Zarz¹dzanie wirtualnymi kartami inteligentnymi modu³u TPM	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\RmtTpmVscMgrSvr.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zarz¹dzanie wirtualnymi kartami inteligentnymi modu³u TPM (ruch wychodz¹cy TCP)	Zarz¹dzanie wirtualnymi kartami inteligentnymi modu³u TPM	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\RmtTpmVscMgrSvr.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zawartoœæ firmy Microsoft	Zawartoœæ firmy Microsoft	Wszystko	Nie	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.contentdeliverymanager_cw5n1h2txyewy	
Zdjêcia Microsoft	Zdjêcia Microsoft	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.photos_8wekyb3d8bbwe	
