Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowani u¿ytkownicy	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
Serwer przesy³ania strumieniowego rzutowania do urz¹dzenia (ruch przychodz¹cy przesy³ania strumieniowego HTTP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Modu³y renderowania funkcji Odtwarzaj na	TCP	10246	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Serwer przesy³ania strumieniowego rzutowania do urz¹dzenia (ruch przychodz¹cy przesy³ania strumieniowego HTTP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	10246	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Serwer przesy³ania strumieniowego rzutowania do urz¹dzenia (ruch przychodz¹cy przesy³ania strumieniowego RTCP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Domena	Tak	Zezwalaj	Nie	%SystemRoot%\system32\mdeserver.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Serwer przesy³ania strumieniowego rzutowania do urz¹dzenia (ruch przychodz¹cy przesy³ania strumieniowego RTCP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\mdeserver.exe	Dowolne	Modu³y renderowania funkcji Odtwarzaj na	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Serwer przesy³ania strumieniowego rzutowania do urz¹dzenia (ruch przychodz¹cy przesy³ania strumieniowego RTCP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\mdeserver.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Serwer przesy³ania strumieniowego rzutowania do urz¹dzenia (ruch przychodz¹cy przesy³ania strumieniowego RTSP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\mdeserver.exe	Dowolne	Podsieæ lokalna	TCP	23554, 23555, 23556	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Serwer przesy³ania strumieniowego rzutowania do urz¹dzenia (ruch przychodz¹cy przesy³ania strumieniowego RTSP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\mdeserver.exe	Dowolne	Modu³y renderowania funkcji Odtwarzaj na	TCP	23554, 23555, 23556	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Serwer przesy³ania strumieniowego rzutowania do urz¹dzenia (ruch przychodz¹cy przesy³ania strumieniowego RTSP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Domena	Tak	Zezwalaj	Nie	%SystemRoot%\system32\mdeserver.exe	Dowolne	Dowolne	TCP	23554, 23555, 23556	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdarzenia UPnP rzutowania do urz¹dzenia (ruch przychodz¹cy TCP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Modu³y renderowania funkcji Odtwarzaj na	TCP	2869	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Dane przychodz¹ce grupy domowej	Grupa domowa	Prywatny	Nie	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	3587	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
