Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowani u¿ytkownicy	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
Udostêpnianie plików i drukarek (us³uga buforu — RPC-EPMAP)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (us³uga buforu — RPC-EPMAP)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (¿¹danie echa — ruch przychodz¹cy ICMPv4)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (¿¹danie echa — ruch przychodz¹cy ICMPv4)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (¿¹danie echa — ruch przychodz¹cy ICMPv4)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (¿¹danie echa — ruch przychodz¹cy ICMPv6)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (¿¹danie echa — ruch przychodz¹cy ICMPv6)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (¿¹danie echa — ruch przychodz¹cy ICMPv6)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek przez protokó³ SMBDirect (ruch przychodz¹cy iWARP)	Udostêpnianie plików i drukarek przez protokó³ SMBDirect	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	5445	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie zbli¿eniowe przez protokó³ TCP (udostêpnianie przez protokó³ TCP — ruch przychodz¹cy)	Udostêpnianie zbli¿eniowe	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\proximityuxhost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — przesy³anie strumieniowe HTTP (ruch przychodz¹cy TCP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	10244	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — przesy³anie strumieniowe multimediów (ruch przychodz¹cy TCP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	2869	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — qWave (ruch przychodz¹cy TCP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	2177	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — qWave (ruch przychodz¹cy UDP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	2177	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — RTSP (ruch przychodz¹cy TCP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\ehome\ehshell.exe	Dowolne	Podsieæ lokalna	TCP	554, 8554, 8555, 8556, 8557, 8558	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — SSDP (ruch przychodz¹cy UDP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	1900	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — WMDRM-ND/RTP/RTCP (ruch przychodz¹cy UDP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\ehome\ehshell.exe	Dowolne	Podsieæ lokalna	UDP	7777, 7778, 7779, 7780, 7781, 5004, 5005, 50004, 50005, 50006, 50007, 50008, 50009, 50010, 50011, 50012, 50013	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — XSP (ruch przychodz¹cy TCP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	3390	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga iSCSI (ruch przychodz¹cy TCP)	Us³uga iSCSI	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga iSCSI (ruch przychodz¹cy TCP)	Us³uga iSCSI	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga mDNS (ruch przychodz¹cy UDP)	Us³uga mDNS	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	5353	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga mDNS (ruch przychodz¹cy UDP)	Us³uga mDNS	Domena	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	5353	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga mDNS (ruch przychodz¹cy UDP)	Us³uga mDNS	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	5353	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Autoryzacja us³ugi Netlogon (RPC)	Us³uga Netlogon	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\System32\lsass.exe	Dowolne	Dowolne	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga Netlogon (nazwane potoki — ruch przychodz¹cy)	Us³uga Netlogon	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	445	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga rejestracji nazw komputerów w funkcji Wspó³praca w systemie Windows (ruch przychodz¹cy PNRP)	Us³uga rejestracji nazw komputerów w funkcji Wspó³praca w systemie Windows	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	3540	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga rejestracji nazw komputerów w funkcji Wspó³praca w systemie Windows (ruch przychodz¹cy SSDP)	Us³uga rejestracji nazw komputerów w funkcji Wspó³praca w systemie Windows	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	1900	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Protokó³ koordynacji platformy ASP sieci WFD (ruch przychodz¹cy UDP)	Us³uga sieci WLAN — protokó³ koordynacji platformy us³ug aplikacji sieci WFD (korzysta z protoko³u UDP)	Wszystko	Tak	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	7235	7235	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Tylko sterownik sieci WFD (ruch przychodz¹cy TCP)	Us³uga sieci WLAN — regu³y sterownika trybu j¹dra us³ug sieci WFD	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Tylko sterownik sieci WFD (ruch przychodz¹cy UDP)	Us³uga sieci WLAN — regu³y sterownika trybu j¹dra us³ug sieci WFD	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy przesy³ania strumieniowego HTTP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	10243	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy przesy³ania strumieniowego HTTP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	10243	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy przesy³ania strumieniowego HTTP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	10243	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy przesy³ania strumieniowego UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy przesy³ania strumieniowego UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy przesy³ania strumieniowego UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy qWave TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	2177	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy qWave TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	2177	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy qWave TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	2177	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy qWave UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	2177	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy qWave UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	2177	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy qWave UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	2177	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy SSDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	1900	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy SSDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	1900	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy TCP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Publiczny	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena	Nie	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy UDP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy UPnP)	Us³uga udostêpniania w sieci programu Windows Media Player	Domena, Publiczny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	2869	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga udostêpniania w sieci programu Windows Media Player (ruch przychodz¹cy UPnP)	Us³uga udostêpniania w sieci programu Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	2869	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga zarz¹dzania kluczami (ruch przychodz¹cy TCP)	Us³uga zarz¹dzania kluczami	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\sppextcomobj.exe	Dowolne	Podsieæ lokalna	TCP	1688	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga zarz¹dzania kluczami (ruch przychodz¹cy TCP)	Us³uga zarz¹dzania kluczami	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\sppextcomobj.exe	Dowolne	Dowolne	TCP	1688	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Media Player (ruch przychodz¹cy UDP)	Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%ProgramFiles%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Media Player (ruch przychodz¹cy UDP)	Windows Media Player	Domena, Publiczny	Nie	Zezwalaj	Nie	%ProgramFiles%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Media Player x86 (ruch przychodz¹cy UDP)	Windows Media Player	Domena, Publiczny	Nie	Zezwalaj	Nie	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Media Player x86 (ruch przychodz¹cy UDP)	Windows Media Player	Prywatny	Tak	Zezwalaj	Nie	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Windows Search	Windows Search	Domena, Prywatny	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.search_cw5n1h2txyewy	
Kana³ ukryty infrastruktury ekranu bezprzewodowego (ruch przychodz¹cy TCP)	Wyœwietlacz bezprzewodowy	Wszystko	Tak	Zezwalaj	Nie	%systemroot%\system32\CastSrv.exe	Dowolne	Dowolne	TCP	7250	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Wyœwietlacz bezprzewodowy (ruch przychodz¹cy TCP)	Wyœwietlacz bezprzewodowy	Wszystko	Tak	Zezwalaj	Nie	%systemroot%\system32\WUDFHost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	ZARZ¥DZANIE NT\STEROWNIKI TRYBU U¯YTKOWNIKA	Dowolne	Brak	Dowolne	
Xbox	Xbox	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.xboxapp_8wekyb3d8bbwe	
Xbox Game Bar	Xbox Game Bar	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.xboxgamingoverlay_8wekyb3d8bbwe	
Zabezpieczenia Windows	Zabezpieczenia Windows	Domena, Prywatny	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.sechealthui_cw5n1h2txyewy	
Zarz¹dzanie wirtualnymi kartami inteligentnymi modu³u TPM (ruch przychodz¹cy DCOM)	Zarz¹dzanie wirtualnymi kartami inteligentnymi modu³u TPM	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	135	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zarz¹dzanie wirtualnymi kartami inteligentnymi modu³u TPM (ruch przychodz¹cy DCOM)	Zarz¹dzanie wirtualnymi kartami inteligentnymi modu³u TPM	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	135	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zarz¹dzanie wirtualnymi kartami inteligentnymi modu³u TPM (ruch przychodz¹cy TCP)	Zarz¹dzanie wirtualnymi kartami inteligentnymi modu³u TPM	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\RmtTpmVscMgrSvr.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zarz¹dzanie wirtualnymi kartami inteligentnymi modu³u TPM (ruch przychodz¹cy TCP)	Zarz¹dzanie wirtualnymi kartami inteligentnymi modu³u TPM	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\RmtTpmVscMgrSvr.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Regu³a ruchu przychodz¹cego dla zdalnego zamykania systemu (ruch przychodz¹cy RPC-EP)	Zdalne zamykanie systemu	Wszystko	Nie	Zezwalaj	Nie	%systemroot%\system32\wininit.exe	Dowolne	Dowolne	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Regu³a ruchu przychodz¹cego dla zdalnego zamykania systemu (ruch przychodz¹cy TCP)	Zdalne zamykanie systemu	Wszystko	Nie	Zezwalaj	Nie	%systemroot%\system32\wininit.exe	Dowolne	Dowolne	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie dziennikiem zdarzeñ (nazwane potoki — ruch przychodz¹cy)	Zdalne zarz¹dzanie dziennikiem zdarzeñ	Prywatny, Publiczny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	445	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie dziennikiem zdarzeñ (nazwane potoki — ruch przychodz¹cy)	Zdalne zarz¹dzanie dziennikiem zdarzeñ	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	445	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie dziennikiem zdarzeñ (RPC)	Zdalne zarz¹dzanie dziennikiem zdarzeñ	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie dziennikiem zdarzeñ (RPC)	Zdalne zarz¹dzanie dziennikiem zdarzeñ	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie dziennikiem zdarzeñ (RPC-EPMAP)	Zdalne zarz¹dzanie dziennikiem zdarzeñ	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie dziennikiem zdarzeñ (RPC-EPMAP)	Zdalne zarz¹dzanie dziennikiem zdarzeñ	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie sys. Windows (ruch przych. HTTP)	Zdalne zarz¹dzanie systemem Windows	Publiczny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	5985	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie sys. Windows (ruch przych. HTTP)	Zdalne zarz¹dzanie systemem Windows	Domena, Prywatny	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	5985	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie systemem Windows — tryb zgodnoœci (ruch przychodz¹cy HTTP)	Zdalne zarz¹dzanie systemem Windows (zgodnoœæ)	Prywatny, Publiczny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	80	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie systemem Windows — tryb zgodnoœci (ruch przychodz¹cy HTTP)	Zdalne zarz¹dzanie systemem Windows (zgodnoœæ)	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	80	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie us³ugami (nazwane potoki — ruch przychodz¹cy)	Zdalne zarz¹dzanie us³ugami	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	445	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie us³ugami (nazwane potoki — ruch przychodz¹cy)	Zdalne zarz¹dzanie us³ugami	Prywatny, Publiczny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	445	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
